"tconst","titleType","primaryTitle","startYear","runtimeMinutes","genres","averageRating","numVotes"
"tt0107107","movie","Hexed","1993","90","Comedy,Crime,Mystery",5.5,1832
"tt0107117","movie","The Hit List","1993","93","Action,Thriller",5.4,1062
"tt0107120","movie","Hocus Pocus","1993","96","Comedy,Family,Fantasy",6.9,156529
"tt0107121","movie","Head Above Water","1993","97","Comedy,Thriller",6.5,1248
"tt0107130","movie","A Home of Our Own","1993","104","Biography,Drama",7.1,3842
"tt0107131","movie","Homeward Bound: The Incredible Journey","1993","84","Adventure,Comedy,Drama",6.9,51511
"tt0107144","movie","Hot Shots! Part Deux","1993","86","Action,Comedy",6.6,97883
"tt0107146","movie","The Advocate","1993","102","Comedy,Crime,Drama",6.6,2206
"tt0107147","movie","A House in the Hills","1993","95","Romance,Thriller",5.5,1386
"tt0107148","movie","House of Cards","1993","109","Drama",6.1,2963
"tt0107151","movie","The House of the Spirits","1993","145","Drama,Romance",6.9,25105
"tt0107152","movie","Household Saints","1993","124","Drama",6.9,1003
"tt0107156","movie","The Wedding Banquet","1993","106","Comedy,Drama,Romance",7.6,17270
"tt0107157","movie","The Puppetmaster","1993","142","Biography,Drama,War",7.1,2085
"tt0107162","movie","Once Upon a Time in China IV","1993","101","Action",5.9,1382
"tt0107165","movie","Golden Balls","1993","95","Comedy,Drama",6.1,3904
"tt0107166","movie","Hum Hain Rahi Pyar Ke","1993","163","Comedy,Drama,Romance",7.3,6266
"tt0107175","movie","Oh, Woe Is Me","1993","95","Comedy,Drama,Fantasy",6.1,1536
"tt0107206","movie","In the Line of Fire","1993","128","Action,Crime,Drama",7.2,114481
"tt0107207","movie","In the Name of the Father","1993","133","Biography,Crime,Drama",8.1,188089
"tt0107209","movie","Faraway, So Close!","1993","140","Drama,Fantasy,Romance",7.2,9172
"tt0107211","movie","Indecent Proposal","1993","117","Drama,Romance",6,78655
"tt0107212","movie","Indian Summer","1993","97","Comedy,Drama,Romance",6.5,6052
"tt0107214","movie","India","1993","90","Comedy,Drama",7.9,3099
"tt0107225","movie","Ciao, Professore!","1992","100","Comedy",6.9,2281
"tt0107227","movie","The Terrorism and the Kebab","1992","105","Action,Comedy,Crime",7.7,3343
"tt0107247","movie","Jack the Bear","1993","99","Comedy,Drama",6.5,4431
"tt0107249","movie","Jaagruti","1993","134","Action,Drama",4.7,1183
"tt0107254","movie","Jason Goes to Hell","1993","87","Fantasy,Horror,Thriller",4.1,37053
"tt0107277","movie","Josh and S.A.M.","1993","96","Adventure,Comedy,Drama",5.7,1649
"tt0107282","movie","The Joy Luck Club","1993","139","Drama",7.7,18486
"tt0107286","movie","Judgment Night","1993","110","Action,Crime,Drama",6.6,18943
"tt0107289","movie","The Jungle Creature: Hugo","1993","68","Animation,Family,Musical",6.2,1888
"tt0107290","movie","Jurassic Park","1993","127","Action,Adventure,Sci-Fi",8.2,1074636
"tt0107302","movie","Kalifornia","1993","117","Crime,Drama,Thriller",6.7,58594
"tt0107311","movie","Khalnayak","1993","190","Action,Adventure,Crime",7.1,3759
